Elapsed_Time(s),Target_X,Target_Y,Error_X,Error_Y,PWM_X,PWM_Y
6.51285,324.333,197.516,4.33334,-2.48376,1609.82,1395.22
6.53061,325.059,197.807,5.05862,-2.19263,1609.82,1395.22
6.54607,327.297,196.941,7.29703,-3.0594,1600.9,1395.22
6.56398,329.697,195.501,9.69727,-4.49919,1595.46,1395.22
6.57937,331.509,194.347,11.5095,-5.65285,1589.55,1402.15
6.59852,332.592,193.358,12.5924,-6.64249,1584.01,1405.35
6.61283,333.988,192.606,13.9883,-7.39363,1577.41,1408.85
6.63068,334.686,191.48,14.6857,-8.51987,1571.31,1412.92
6.64605,335.226,191.894,15.2258,-8.10573,1565.04,1415.72
6.66402,334.218,192.032,14.2181,-7.96808,1560.35,1418.66
6.68021,333.87,193.285,13.8699,-6.7148,1555.34,1421.46
6.69759,333.631,194.166,13.6306,-5.83423,1550.32,1424.26
6.71298,333.151,194.867,13.1512,-5.13297,1545.71,1419.33
6.73082,333.068,196.589,13.0677,-3.41145,1540.79,1419.33
6.74621,333.97,197.479,13.9697,-2.52083,1534.7,1419.33
6.76428,334.256,197.078,14.2556,-2.92223,1529.05,1419.33
6.77954,334.185,197.022,14.1848,-2.97826,1523.7,1419.33
6.79748,332.468,195.495,12.4681,-4.50533,1519.7,1419.33
6.81294,331.728,196.125,11.728,-3.87547,1515.7,1419.33
6.83079,330.951,194.691,10.951,-5.30885,1511.7,1419.33
6.84608,331.733,194.296,11.7333,-5.7037,1506.55,1426.35
6.86399,333.147,193.529,13.1471,-6.47058,1500.51,1429.37
6.87947,335.012,192.477,15.0116,-7.52325,1493.21,1433.12
6.89741,335.867,192.429,15.8674,-7.57115,1486.53,1436.04
6.91284,336.569,193.581,16.5688,-6.41875,1479.62,1438.84
6.93077,335.996,193.627,15.996,-6.37326,1473.92,1441.64
6.94614,335.571,196.378,15.5706,-3.62157,1468.34,1436.26
6.96414,334.783,197.524,14.7831,-2.47591,1463.26,1436.26
6.97939,334.04,198.745,14.0403,-1.25478,1458.53,1436.26
6.99742,334.318,200.828,14.3183,0.827957,1452.86,1436.26
7.01278,333.623,199.539,13.6234,-0.461044,1448.24,1436.26
7.03076,333.407,199.933,13.4067,-0.0666656,1443.27,1436.26
7.04612,332.732,200.206,12.7324,0.206345,1438.97,1436.26
